Index,y_train
0,3
1,2
2,6
3,10
4,1
5,1
6,7
7,1
8,8
9,4
10,4
11,5
12,6
13,1
14,10
15,7
16,2
17,5
18,1
19,2
20,2
21,9
22,5
23,7
24,1
25,10
26,8
27,6
28,6
29,10
30,2
31,2
32,6
33,3
34,4
35,6
36,2
37,11
38,10
39,10
40,5
41,3
42,10
43,9
44,5
45,1
46,3
47,2
48,7
49,1
50,5
51,5
52,9
53,2
54,5
55,8
56,4
57,6
58,1
59,2
60,5
61,6
62,3
63,8
64,6
65,6
66,9
67,7
68,3
69,8
70,6
71,6
72,9
73,3
74,8
75,9
76,5
77,6
78,5
79,1
80,5
81,5
82,8
83,6
84,4
85,6
86,3
87,5
88,1
89,6
90,3
91,5
92,3
93,8
94,10
95,4
96,3
97,6
98,8
99,3
100,4
101,6
102,3
103,3
104,8
105,6
106,4
107,3
108,4
109,1
110,4
111,6
112,3
113,1
114,11
115,5
116,2
117,10
118,3
119,4
120,4
121,2
122,9
123,4
124,6
125,6
126,10
127,7
128,5
129,3
130,5
131,9
132,2
133,4
134,6
135,6
136,6
137,6
138,5
139,1
140,8
141,5
142,4
143,8
144,8
145,3
146,1
147,3
148,7
149,1
150,5
151,8
152,5
153,5
154,6
155,3
156,2
157,5
158,8
159,6
160,3
161,4
162,7
163,10
164,1
165,5
166,1
167,4
168,6
169,2
170,4
171,4
172,4
173,9
174,4
175,2
176,10
177,4
178,7
179,9
180,4
181,4
182,2
183,6
184,4
185,6
186,6
187,6
188,8
189,5
190,1
191,3
192,4
193,4
194,2
195,6
196,9
197,9
198,7
199,5
200,9
201,8
202,2
203,5
204,3
205,4
206,3
207,9
208,9
209,5
210,11
211,5
212,11
213,4
214,1
215,9
216,3
217,4
218,10
219,7
220,2
221,7
222,9
223,1
224,8
225,4
226,3
227,8
228,1
229,6
230,2
231,1
232,8
233,1
234,5
235,1
236,5
237,1
238,5
239,4
240,4
241,5
242,1
243,10
244,10
245,1
246,6
247,7
248,3
249,3
250,3
251,4
252,1
253,8
254,5
255,12
256,7
257,1
258,12
259,4
260,2
261,6
262,2
263,1
264,4
265,8
266,5
267,5
268,4
269,6
270,4
271,4
272,3
273,7
274,7
275,8
276,3
277,8
278,2
279,3
280,2
281,4
282,5
283,5
284,4
285,6
286,5
287,4
288,7
289,1
290,2
291,6
292,3
293,3
294,4
295,3
296,6
297,4
298,3
299,10
300,4
301,1
302,7
303,3
304,6
305,7
306,8
307,4
308,6
309,6
310,5
311,5
312,6
313,6
314,5
315,4
316,9
317,3
318,4
319,11
320,5
321,5
322,1
323,5
324,6
325,6
326,6
327,3
328,6
329,4
330,10
331,2
332,5
333,3
334,8
335,4
336,11
337,5
338,9
339,11
340,6
341,5
342,12
343,3
344,2
345,10
346,2
347,2
348,8
349,2
350,5
351,6
352,4
353,1
354,4
355,10
356,3
357,5
358,1
359,3
360,7
361,2
362,5
363,1
364,5
365,3
366,8
367,2
368,11
369,4
370,9
371,3
372,3
373,2
374,8
375,6
376,8
377,4
378,9
379,4
380,9
381,5
382,4
383,6
384,7
385,9
386,6
387,5
388,4
389,2
390,8
391,9
392,5
393,5
394,6
395,10
396,1
397,2
398,10
399,4
400,3
401,6
402,11
403,6
404,6
405,1
406,2
407,10
408,3
409,8
410,8
411,9
412,4
413,6
414,1
415,7
416,5
417,4
418,5
419,1
420,11
421,2
422,7
423,11
424,6
425,6
426,5
427,7
428,10
429,2
430,5
431,1
432,1
433,6
434,7
435,3
436,7
437,2
438,5
439,2
440,4
441,3
442,6
443,6
444,1
445,3
446,1
447,1
448,4
449,5
450,5
451,3
452,7
453,6
454,1
455,6
456,3
457,3
458,3
459,11
460,6
461,1
462,7
463,4
464,9
465,3
466,2
467,10
468,4
469,6
470,5
471,3
472,8
473,3
474,3
475,2
476,1
477,6
478,8
479,4
480,4
481,6
482,2
483,4
484,8
485,6
486,6
487,4
488,4
489,10
490,8
491,7
492,5
493,2
494,6
495,3
496,2
497,2
498,8
499,7
500,3
501,5
